sec,nsec,x,y,yaw,v_real,w_real,v_now,w_now,v_cmd,w_cmd,v_nav,w_nav,vx_real,vy_real,vx_now,vy_now,vx_cmd,vy_cmd,vx_nav,vy_nav,velocity_violation,curvature,dw_vx_max,dw_vx_min,dw_vy_max,dw_vy_min,dw_w_max,dw_w_min,v_reg,lookahead_dist,lookahead_yaw,is_accel
39,900000000,0.996255,0.875898,1.639022,0.221872,0.258792,0.222032,0.196070,0.222282,0.176070,0.222282,0.176070,0.220044,-0.028422,0.220000,-0.029970,0.220000,-0.031767,0.220000,-0.031767,0,-1.856433,0.220000,0.212667,-0.022637,-0.037304,0.216070,0.176070,0.311127,0.110000,-0.068226,1
39,920000000,0.996511,0.880329,1.644171,0.221882,0.257447,0.222282,0.176070,0.222408,0.196070,0.222408,0.196070,0.220039,-0.028535,0.220000,-0.031767,0.220000,-0.032638,0.220000,-0.032638,0,-1.907305,0.220000,0.212667,-0.024434,-0.039101,0.196070,0.156070,0.311127,0.110000,1.497421,1
39,960000000,0.997058,0.889201,1.653586,0.222260,0.232528,0.222408,0.196070,0.222614,0.216070,0.222614,0.216070,0.220045,-0.031304,0.220000,-0.032638,0.220000,-0.034012,0.220000,-0.034012,0,-1.987642,0.220000,0.212667,-0.025304,-0.039971,0.216070,0.176070,0.311127,0.110000,1.488006,1
39,980000000,0.997320,0.893640,1.657874,0.222352,0.214403,0.222614,0.216070,0.222744,0.236070,0.222744,0.236070,0.220046,-0.031940,0.220000,-0.034012,0.220000,-0.034857,0.220000,-0.034857,0,-2.106050,0.220000,0.212667,-0.026679,-0.041346,0.236070,0.196070,0.311127,0.110000,1.483718,1
40,20000000,0.997825,0.902514,1.666192,0.222097,0.210389,0.222744,0.236070,0.223013,0.256070,0.223013,0.256070,0.219588,-0.033291,0.220000,-0.034857,0.220000,-0.036537,0.220000,-0.036537,0,-2.408622,0.220000,0.212667,-0.027524,-0.042191,0.256070,0.216070,0.311127,0.110000,1.475400,0
40,40000000,0.998083,0.906959,1.670802,0.222654,0.230471,0.223013,0.256070,0.223162,0.276070,0.223162,0.276070,0.219953,-0.034582,0.220000,-0.036537,0.220000,-0.037433,0.220000,-0.037433,0,-2.585709,0.220000,0.212667,-0.029203,-0.043870,0.276070,0.236070,0.311127,0.110000,1.470791,0
40,80000000,0.998580,0.915860,1.680601,0.222975,0.255091,0.223162,0.276070,0.223484,0.296070,0.223484,0.296070,0.219992,-0.036351,0.220000,-0.037433,0.220000,-0.039310,0.220000,-0.039310,0,-3.002794,0.220000,0.212667,-0.030099,-0.044766,0.296070,0.256070,0.311127,0.110000,1.460991,0
40,120000000,0.999058,0.924775,1.691180,0.223380,0.274930,0.223484,0.296070,0.223830,0.316070,0.223830,0.316070,0.220021,-0.038591,0.220000,-0.039310,0.220000,-0.041227,0.220000,-0.041227,0,-3.522716,0.220000,0.212667,-0.031976,-0.046643,0.316070,0.276070,0.311127,0.110000,1.450413,0
40,140000000,0.999295,0.929238,1.696763,0.223479,0.279164,0.223830,0.316070,0.224003,0.336070,0.224003,0.336070,0.220006,-0.039245,0.220000,-0.041227,0.220000,-0.042159,0.220000,-0.042159,0,-3.829675,0.220000,0.212667,-0.033894,-0.048561,0.336070,0.296070,0.311127,0.110000,1.444829,0
40,180000000,0.999749,0.938175,1.708602,0.223827,0.303324,0.224003,0.336070,0.224355,0.356070,0.224355,0.356070,0.219991,-0.041259,0.220000,-0.042159,0.220000,-0.043992,0.220000,-0.043992,0,-4.574028,0.220000,0.212667,-0.034826,-0.049493,0.356070,0.316070,0.311127,0.110000,1.432991,0
