sec,nsec,x,y,yaw,v_real,w_real,v_cmd,w_cmd,v_nav,w_nav,velocity_violation,battery_v,battery_i,battery_percent,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz
1765756017.108614,108613838,1.1888269175721369,0.19761920058335974,0.5661001633655156,0.4902492165565491,0.2137069259920428,0.5,0.16285994281822924,0.5,0.16285994281822924,False,25.200000762939453,-0.40799999237060547,0.9100000262260437,0.08858546142578125,0.17477672119140625,8.935160595703124,0.03954794218767669,-0.00905474770626941,0.20985709389824395
1765756017.1891367,189136539,1.3291188270739671,0.28402939644711905,0.6536237272774302,0.49687452614307404,0.18699833702656532,0.5,0.08650886747134967,0.5,0.16285994281822924,False,25.200000762939453,-0.33799999952316284,0.9100000262260437,1.2138602416992186,-0.4836287353515625,9.952696301269532,0.013582121559404116,-0.015180018213451656,0.17603494805423764
1765756017.2302067,230206654,1.343901172802412,0.29327461785990566,0.6616970262993015,0.510125145316124,0.1335684210062027,0.5,0.0811678759227922,0.5,0.08650886747134967,False,25.200000762939453,-0.375,0.9100000262260437,1.177947216796875,-0.3950432739257812,10.115502014160155,0.008122641324741676,0.12237225208914099,0.1548628173881077
1765756017.5004597,500459412,1.343901172802412,0.29327461785990566,0.6616970262993015,0.4968753159046173,0.1335652364838508,0.5,0.0811678759227922,0.5,0.0811678759227922,False,25.200000762939453,-0.375,0.9100000262260437,0.5698199951171875,-0.3806780639648437,8.56166513671875,-0.02037318233910617,0.0022636869265673524,0.17656758027225347
1765756017.802919,802919000,1.4646448085974555,0.3816401176718773,0.7259652814760238,0.4968749210238457,0.02671336574900535,0.5,0.018733285672975858,0.5,0.018733285672975858,False,25.200000762939453,-0.3720000088214874,0.9100000262260437,0.5434837768554687,0.1771709228515625,9.5001921875,0.10732539193019329,0.00972053797878922,0.010120012142301104
1765756018.2012181,201217932,1.4646448085974555,0.3816401176718773,0.7259652814760238,0.4968741312623024,0.08014009724701604,0.5,-0.02737575944656491,0.5,-0.02737575944656491,False,25.200000762939453,-0.375,0.9100000262260437,0.08858546142578125,-0.28730419921875,8.70771143798828,-0.010918960469324876,0.05632585705517589,0.00625842856168621
1765756018.2430737,243073610,1.6538004122511551,0.6085253559607479,0.8170396891984898,0.4968753159046173,0.080141689508192,0.5,0.03643150296243917,0.5,0.03643150296243917,False,25.200000762939453,-0.375,0.9100000262260437,0.08858546142578125,-0.28730419921875,8.70771143798828,-0.010918960469324876,0.05632585705517589,0.00625842856168621
1765756018.5529072,552906910,1.6538004122511551,0.6085253559607479,0.8170396891984898,0.503499835729599,0.05342991602036261,0.5,0.0030981696291058347,0.5,0.03643150296243917,False,25.200000762939453,-0.32899999618530273,0.9100000262260437,1.120486376953125,-0.1580173095703125,8.832209924316405,0.013315805450396189,-0.07110640110511567,0.10213222780453877
1765756018.9086816,908681486,1.6538004122511551,0.6085253559607479,0.8170396891984898,0.4571242481470108,0.026714958010181304,0.4666666666666667,0.06707530323125607,0.45,0.05294134998919996,False,25.200000762939453,-0.3400000035762787,0.9100000262260437,3.2537200561523436,-1.0726023437499999,11.726799731445311,0.03222424918995878,0.024900556192240877,0.014381069886427886
1765756019.0579708,57970677,1.9337942205816934,0.8522507714452281,0.8277134789975643,0.503499835729599,0.1068534629960214,0.5,0.040415468514434554,0.5,0.040415468514434554,False,25.200000762939453,-0.3400000035762787,0.9100000262260437,1.5011644409179687,-0.6392518432617187,9.05965908203125,-0.03382214584400632,0.004660531907638666,0.06298375978037399
1765756019.1933174,193317391,1.9337942205816934,0.8522507714452281,0.8277134789975643,0.4902498088777065,0.053427527628598676,0.5,0.025830702735533107,0.5,0.030311298331970455,False,25.200000762939453,-0.42500001192092896,0.9100000262260437,2.051830822753906,-0.22026655273437498,9.708487731933593,0.04234426133225989,-0.08641957737307128,0.037550571370117254
