sec,nsec,x,y,yaw,v_cmd,w_cmd,battery_v,battery_i,battery_percent,v_real,w_real,imu_ax,imu_ay,imu_az,imu_vx,imu_vy,imu_vz,v_nav,w_nav,velocity_violation
1765740509.0293365,29336320.0,0.9003893809286474,0.344557375455703,2.1119780235756602,0.22715288426538055,0.6222222222222222,25.200000762939453,-0.5109999775886536,nan,0.2451242133975029,0.560990234296168,0.948103857421875,0.2657563842773437,9.387664709472656,0.07683219744878603,-0.04767058351241837,0.5028048138069602,0.23548621759871388,0.6055555555555556,False
1765740509.062524,62523904.0,0.8993592052849166,0.3461206202957623,2.114736784187985,0.24287575797104166,0.6555555555555556,25.200000762939453,-0.5109999775886536,nan,0.2451253980398178,0.5075587260146295,0.8738836059570312,0.16041151123046873,10.251971508789062,0.07350324608618697,0.03036003642690331,0.5045358685155117,0.23548621759871388,0.6055555555555556,False
1765740509.080805,80804864.0,0.8955609758902465,0.3522375119835246,2.1292586699775584,0.25,0.6647003242018197,25.200000762939453,-0.5109999775886536,nan,0.2451253980398178,0.5075587260146295,0.39983167724609375,0.047884033203124995,10.024522351074218,0.13195963201342625,0.08189220351993656,0.5253085250181297,0.24287575797104166,0.6555555555555556,False
1765740509.1127481,112748032.0,0.8893505930530416,0.36192317839030874,2.1533842072096316,0.25,0.6313669908684864,25.200000762939453,-0.5109999775886536,nan,0.25174932554364204,0.5877043961757614,1.16837041015625,0.35673604736328124,8.858546142578124,0.08215851962894449,-0.12743225816029155,0.5544701389544974,0.25,0.6313669908684864,False
1765740509.1471796,147179520.0,0.887026615677664,0.3654161564924614,2.1620328452049735,0.25,0.6183529700429758,25.200000762939453,-0.5109999775886536,nan,0.23187477886676788,0.5609886420349921,0.37828386230468747,0.6823474731445313,9.777919580078125,0.0884169481906307,0.02876213977285577,0.5536711906274736,0.25,0.6313669908684864,False
1765740509.1811848,181184768.0,0.887026615677664,0.3654161564924614,2.1620328452049735,0.25,0.6056475787993897,25.200000762939453,-0.5109999775886536,nan,0.24512559548020363,0.5075595221452175,1.2401964599609374,0.7278373046875,7.994239343261718,0.03222424918995878,-0.12636699372425986,0.5520732939734261,0.25,0.6183529700429758,False
1765740509.228141,228141056.0,0.887026615677664,0.3654161564924614,2.1620328452049735,0.25,0.588639931860171,25.200000762939453,-0.5109999775886536,nan,0.24843686819076538,0.5743477133012587,0.6368576416015624,-0.2537853759765625,9.9981861328125,0.04074636467821234,-0.08575378710055147,0.5475459201202914,0.25,0.5900046101900692,False
1765740509.2494376,249437440.0,1.0177576484985273,0.38488291052062706,2.203184842908271,0.25,0.588639931860171,25.200000762939453,-0.5109999775886536,nan,0.2451253980398178,0.5075587260146295,1.22583125,0.2561795776367187,9.334992272949219,0.055793224837160045,-0.018642127630554665,0.5467469717932676,0.25,0.5900046101900692,False
1765740509.286375,286374912.0,1.017500569701947,0.3852348623966497,2.20406355399424,0.25,0.580211497437773,25.200000762939453,-0.5109999775886536,nan,0.23187480046181008,0.5609887291117751,1.5777788940429687,0.23223756103515625,9.550470422363281,0.09187905760773371,0.003728425526110933,0.5454153912482279,0.25,0.588639931860171,False
1765740509.326044,326043904.0,1.0130626143435855,0.3911812677530824,2.2200918437697834,0.25,0.5671910418367763,25.200000762939453,-0.6420000195503235,nan,0.24181260287878104,0.5476305970308115,1.2737152832031249,0.10295067138671875,9.299079248046874,0.055793224837160045,-0.023968449810713145,0.5472796040112834,0.25,0.588639931860171,False
1765740509.3456378,345637632.0,1.0066487219109863,0.3991080876432189,2.2403592527736143,0.25329312196622433,0.5555555555555555,25.200000762939453,-0.6420000195503235,nan,0.24512589164078236,0.5609842633167582,0.9121908325195311,-0.0143652099609375,9.279925634765624,0.0832237840649762,0.007190534943213943,0.5585980386441202,0.25,0.5671910418367763,False
1765740509.3811636,381163520.0,0.9898736216741533,0.40706920577982864,2.2698774982400365,0.25774767253869707,0.5555555555555556,25.200000762939453,-0.6420000195503235,nan,0.23850097693502903,0.5342708975677529,1.8124106567382812,-0.033518823242187495,9.643844287109374,0.0709732430506117,-0.021971078993153714,0.5486111845563231,0.25329312196622433,0.5555555555555555,False
1765740509.4124434,412443392.0,0.9851544654195576,0.4125878118537667,2.2866038352378912,0.2686436247495571,0.5555555555555556,25.200000762939453,-0.6420000195503235,nan,0.24843755923211575,0.5743441307136128,0.9265560424804687,0.09337386474609374,9.639055883789062,0.06564692087045322,-0.026365294791784455,0.5480785523383072,0.2686436247495571,0.5555555555555556,False
1765740509.448727,448726784.0,0.9819425632492642,0.4162383867141566,2.2984611970178705,0.28531029141622377,0.5525508711630285,25.200000762939453,-0.6420000195503235,nan,0.25175051018595695,0.5342728878942228,1.2282254516601563,0.612915625,8.681375219726561,0.09374327037078917,0.04487426436783516,0.5411543335041011,0.2686436247495571,0.5555555555555556,False
1765740509.4807267,480726528.0,0.9738722936730726,0.42551575575204126,2.3245127339044807,0.29697362462044075,0.5555555555555556,25.200000762939453,-0.6420000195503235,nan,0.2583756223320961,0.5609870497738162,1.6112977172851561,0.29927520751953124,10.520122094726561,0.05352953791059268,-0.05432848623761646,0.5343632727243991,0.28531029141622377,0.5525508711630285,False
1765740509.525264,525263872.0,0.9651442633746576,0.4364055238823461,2.3464951060989,0.3058450507234812,0.5555555555555556,25.200000762939453,-0.6420000195503235,nan,0.28156282380223274,0.5476303668993134,0.9576806640625,0.00718260498046875,9.732429748535155,0.05020058654799364,-0.06617955308846907,0.538224856305014,0.3058450507234812,0.5555555555555556,False
1765740509.5451586,545158400.0,0.9576700227801309,0.4438451918419828,2.3706119085728914,0.3078009687869549,0.5555555555555556,25.200000762939453,-0.6869999766349792,nan,0.27824997156858444,0.5877020077839974,1.7262193969726563,0.1580173095703125,9.45470235595703,0.0972053797878922,0.0223705531566656,0.5254416830726337,0.3058450507234812,0.5555555555555556,False
1765740509.597315,597315072.0,0.9514244185529783,0.44979492700851864,2.3904728386165512,0.31665840774665266,0.5555555555555556,25.200000762939453,-0.6869999766349792,nan,0.28487567603588104,0.5075587260146295,1.93451494140625,-0.00239420166015625,10.378864196777343,0.11278487216485573,-0.038482677751644996,0.531300637470808,0.3078009687869549,0.5555555555555556,False
1765740509.6119049,611904768.0,0.9464187803406494,0.4524428362604134,2.406561042322861,0.32845938704474453,0.5555555555555556,25.200000762939453,-0.6869999766349792,nan,0.3180006444454193,0.48084376800444817,1.3958195678710936,0.5195417602539062,9.165003955078124,0.029827404208887465,-0.011584750741844684,0.5328985341248555,0.32845938704474453,0.5555555555555556,False
1765740509.654597,654596864.0,0.9360834792506036,0.45669773025665883,2.4387954317378107,0.34334267704061316,0.5555555555555555,25.200000762939453,-0.6869999766349792,nan,0.2981247156858444,0.5075587260146295,1.0366893188476562,0.13168109130859373,9.512163195800781,0.060187440635790776,0.0475374254579144,0.5303685310892803,0.32845938704474453,0.5555555555555556,False
1765740509.6869285,686928384.0,0.9360834792506036,0.45669773025665883,2.4387954317378107,0.3600093437072798,0.5465474895292689,25.200000762939453,-0.6869999766349792,nan,0.3113745450973511,0.5075619105369814,1.6017209106445311,0.19632453613281248,8.501810095214843,0.06844324001503642,-0.11584750741844686,0.5290369505442406,0.34334267704061316,0.5555555555555555,False
1765740509.763366,763365888.0,0.9342791418996272,0.4575616314794644,2.44451431949524,0.3766760103739465,0.5425660497836714,25.200000762939453,-0.6869999766349792,nan,0.3312496840953827,0.5877036000451734,1.8770541015625,0.6488286499023437,8.003816149902343,0.033156355571486516,-0.09773801200590805,0.5351622210514229,0.39334267704061315,0.5309026586379179,False
1765740509.8072162,807216128.0,0.9342791418996272,0.4575616314794644,2.44451431949524,0.4100093437072798,0.5075055218213339,25.200000762939453,-0.6869999766349792,nan,0.3709999620914459,0.5342800530695146,1.8938135131835936,0.19393033447265623,10.366893188476562,0.09467537675231692,-0.12170646181662118,0.5266401055631693,0.39334267704061315,0.5309026586379179,False
